"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Glycan biosynthesis and metabolism","cfa00510","N-Glycan biosynthesis","55/7472","60/9973",0.916666666666667,1.22348991791577,3.00112254092761,0.00089151745568054,0.00158801546793096,0.00028837461559842,"483784/476275/489300/100682632/480701/478178/474780/475608/490430/477223/483141/481196/477647/448804/480312/477301/489371/481458/488878/477264/491674/481579/476793/404012/480238/100685454/476397/609002/488745/481021/481244/476516/483104/100682872/609792/476064/478653/488650/478668/480131/491975/609974/490017/480667/612827/612241/102153780/481315/482155/474562/482527/483895/483337/485628/475418",55
"Metabolism","Glycan biosynthesis and metabolism","cfa00514","Other types of O-glycan biosynthesis","44/7472","47/9973",0.936170212765957,1.24952161829696,2.96362119869144,0.000934263860297889,0.00165553492342942,0.00030063576633529,"480370/608039/474777/480161/608413/478753/486017/480955/100682763/479730/609881/610815/484834/481579/483376/611040/480400/478774/487993/100685864/489891/476397/483025/489790/486063/489165/486224/494221/485390/607787/488359/486604/488650/609818/478668/486734/100855959/610303/481315/482314/482527/610736/482809/477056",44
"Metabolism","Amino acid metabolism","cfa00260","Glycine, serine and threonine metabolism","38/7472","40/9973",0.95,1.26798046038544,2.93525358722855,0.00096535216157814,0.00169307917569089,0.000307453589922322,"477365/403450/484770/489783/479171/612041/475495/607890/481486/480511/481262/477786/488935/403451/612589/486317/491177/484723/479991/482704/100855679/476600/607458/474905/484738/479633/403978/476318/486281/486282/611071/491498/490957/491550/489536/485085/481534/491277",38
"Human Diseases","Cancer: specific types","cfa05216","Thyroid cancer","38/7472","40/9973",0.95,1.26798046038544,2.93525358722855,0.00096535216157814,0.00169307917569089,0.000307453589922322,"480045/474890/491278/100855728/480137/477750/478347/403872/483626/403869/449028/403871/489647/100855877/478989/403494/611939/403523/477575/442858/487954/403735/403924/403927/477032/488993/481735/612070/479180/486894/478507/481506/481744/490404/485069/484198/475526/403606",38
"Organismal Systems","Endocrine system","cfa03320","PPAR signaling pathway","74/7472","83/9973",0.891566265060241,1.18998800340549,3.00413745338485,0.000986577706098163,0.00172147742594679,0.000312610551341523,"403583/479344/479875/491278/480641/480872/485024/403560/476724/491467/478298/475366/610385/476278/478927/607923/485619/608675/100686806/403709/489585/475631/403654/403626/490207/474666/483625/480255/485151/477820/474742/610489/484835/485903/478989/487831/481184/100856778/608476/479564/483322/100856637/486839/475931/478156/403619/403625/442970/100856329/483792/476836/478895/477023/479067/476732/478982/403574/481735/474670/481018/486962/100855488/478448/488110/479427/489393/486694/488790/489428/479309/481756/611877/491317/403606",74
"Human Diseases","Infectious disease: bacterial","cfa05133","Pertussis","69/7472","77/9973",0.896103896103896,1.19604445340527,2.98485198200921,0.00104384576610921,0.00180420771503807,0.000327633903315623,"474652/490649/442859/486714/487382/403417/610540/476728/100855872/403856/478194/100687316/486493/609544/609285/474816/442957/487381/486896/100856347/477024/476412/477746/100855877/611810/403954/477707/481722/403567/478464/477575/475966/478227/480416/403850/403974/403985/403770/403782/403822/403628/403977/403922/607076/476022/490792/489673/478351/102153034/100688110/481110/100533188/486601/490576/607023/483729/489928/403976/609429/607269/612821/492247/102154266/474584/482382/477956/610524/106557449/487146",69
"Organismal Systems","Digestive system","cfa04979","Cholesterol metabolism","49/7472","53/9973",0.924528301886792,1.23398297038503,2.95201846284153,0.00104454130870625,0.00180420771503807,0.000327633903315623,"479915/479680/474475/476724/606963/488390/478320/478781/612219/102152922/100683160/491024/403945/102155149/403626/474681/476438/481124/486241/403698/610489/485903/488230/477274/476437/475588/479072/488171/475931/480208/403920/442970/442969/486511/489392/474571/479255/100856363/478982/486962/483671/608437/479427/490325/609249/481787/481354/481651/475680",49
"Cellular Processes","Transport and catabolism","cfa04136","Autophagy - other","31/7472","32/9973",0.96875,1.29300639052463,2.86939122226122,0.00112343684867586,0.00193073066455851,0.000350609754413518,"608721/612919/474636/478232/478564/480513/480428/479479/480950/476533/484953/609599/486535/489525/102154798/489561/490477/481015/479646/610868/483632/490899/477064/610936/483756/482873/610103/477412/490371/482799/608378",31
"Genetic Information Processing","Translation","cfa03013","Nucleocytoplasmic transport","104/7472","120/9973",0.866666666666667,1.15675410421128,2.9859190037709,0.00115418817282517,0.00197366177553104,0.000358405801035183,"403506/477695/474839/100684187/485528/478585/607836/478661/481234/480045/487314/480469/479562/479657/476822/475922/485942/480106/487375/100856530/477344/102153873/403907/480260/475445/491042/484632/474609/476664/607653/480004/479305/612521/487813/475913/607268/478119/477334/479798/480528/490564/480247/607948/487655/478732/612945/478830/484031/100855902/491332/475388/478185/478680/480704/478073/477257/483780/487130/479360/478093/479208/483618/482263/609404/484930/474913/477132/612937/476909/474539/474470/479293/477534/478874/607867/608534/474440/476567/479871/481031/481101/485383/474427/477387/612863/475827/489812/491441/488137/484094/489863/490448/492024/100685794/610319/100684503/490529/481042/479880/491307/474772/475506/484370/485131",104
"Human Diseases","Immune disease","cfa05321","Inflammatory bowel disease","53/7472","58/9973",0.913793103448276,1.21965452632356,2.89974972006639,0.00135119151273015,0.0022990422753916,0.000417493057088657,"100856077/442859/403417/102156419/483925/487134/487739/489957/100142679/448807/474860/481732/490967/607827/488596/403790/403974/403985/403782/403851/403628/403977/403785/403801/403796/442935/490796/403922/474869/481731/403989/481110/487286/481153/488605/483205/483729/607786/442990/484828/491876/491044/403976/610902/608011/480144/489550/609732/609429/481327/611438/481837/481838",53
"Genetic Information Processing","Replication and repair","cfa03410","Base excision repair","42/7472","45/9973",0.933333333333333,1.24573518915061,2.85558732090773,0.00147401747732091,0.00249561374873145,0.000453189323407681,"442943/475392/476447/482558/477499/484666/477308/486497/608601/482686/476806/490910/611615/612550/478667/476063/489798/479112/490828/100856592/100684130/494001/484745/486078/490385/475639/403170/486315/477166/491145/483096/486223/477749/475448/608341/611847/100856383/610981/611597/610047/484373/100686967",42
"Genetic Information Processing","Folding, sorting and degradation","cfa04120","Ubiquitin mediated proteolysis","139/7472","164/9973",0.847560975609756,1.13125342742988,2.92936123686922,0.00149306972811967,0.00251541796560063,0.000456785657034279,"475718/480896/607100/492102/479005/479873/476560/100856769/476490/480147/607683/474682/611581/477471/474993/100684685/477572/477421/478350/606935/479892/474494/477199/481526/483330/478231/474683/476759/479418/477400/479672/403437/483626/487965/475465/479603/479291/475750/479863/488998/478475/608821/483370/479123/612746/106557503/475967/480470/612161/483746/480931/475055/608578/611552/489433/607816/475512/487592/489422/477952/100856557/479225/612742/478061/479010/475160/100685242/479464/476425/476189/100856496/491332/477048/611799/486311/482822/477914/478374/479513/476713/474599/608118/403722/442949/442989/612823/479036/475453/477573/477392/403693/609033/476817/478495/481679/608342/100688110/487225/486999/609637/486264/100856331/485898/486851/488058/487796/474161/483160/491737/489369/485969/607889/612316/490924/480060/609531/608738/476067/491062/100688676/480575/487641/492088/492095/489228/490006/485049/485059/479932/100688162/481807/484221/403671/102152434/612343/607817/100855774/475563/610187",139
"Genetic Information Processing","Translation","cfa03015","mRNA surveillance pathway","85/7472","97/9973",0.876288659793814,1.16959673502726,2.90111894021521,0.00153286363796226,0.00256980080481908,0.000466661272651048,"478123/477695/474839/608717/607836/480436/478234/100170671/612980/479567/478053/610262/479562/484335/477374/479657/475922/612933/474441/479832/403907/479444/612751/476664/480349/480289/492002/490280/480528/100856093/480247/607948/481806/612945/484740/476200/479846/485672/478185/100856381/480704/476211/490414/100855509/483780/487130/403558/475948/609404/403557/476066/477132/480035/477238/106559223/482873/480230/480430/481031/481101/610161/611488/491587/475827/491441/483755/489859/475148/102156482/492024/100684503/479338/491199/479880/100683271/475126/474772/100684233/481382/481914/100856414/483825/476431/608299/476786",85
"Metabolism","Metabolism of cofactors and vitamins","cfa00830","Retinol metabolism","47/7472","51/9973",0.92156862745098,1.23003264474955,2.84660802935231,0.00160939280274161,0.00268493823676893,0.000487569578237509,"609781/482660/480366/482093/474409/100688697/475366/610385/100856129/484494/481098/484493/476323/478487/100856533/477888/100856346/403629/415122/474177/480254/611373/483120/415127/483083/481118/608216/486804/486998/491729/491601/608849/488467/100688473/488391/489851/487436/490744/478319/491936/100686778/494010/611300/489695/403803/483869/484491",47
"Organismal Systems","Nervous system","cfa04723","Retrograde endocannabinoid signaling","138/7472","163/9973",0.846625766871166,1.13000518910682,2.89249559691933,0.00170440463059082,0.00282964263913621,0.000513847078205714,"492223/489968/474652/483783/608244/606913/478032/488355/485773/478880/479805/475094/477160/484712/487289/607357/474483/100687745/403895/482994/475322/100686332/403856/479887/610413/403859/490244/403516/479975/475214/475367/486628/100683432/475978/476034/478421/610817/490904/481746/100855975/100855806/489284/476735/477718/476722/442957/479733/403912/476659/477746/478624/482510/609157/100855877/608623/611810/478464/477798/476794/479756/477575/490031/478227/442942/403617/403928/489609/100683846/476511/480894/478629/475428/478577/607943/100856334/478981/476754/403511/480741/403556/100687033/611002/480660/482131/485146/484024/479335/489427/478639/482623/607407/484724/482667/477625/485870/100856190/100684421/487756/488685/488688/100316859/476004/607513/488087/480271/607023/480915/483795/476686/482045/100686650/489124/489141/489143/489145/489146/489168/492110/480204/492220/492225/100534634/612821/612139/611349/102154035/100856619/482132/481877/100855828/481913/481917/481918/476415/100685330/106559760/100682956/476548",138
"Metabolism","Lipid metabolism","cfa00592","alpha-Linolenic acid metabolism","22/7472","22/9973",1,1.33471627408994,2.71648634600433,0.00173009630974333,0.00284467758621258,0.000516577339447653,"476045/481256/478207/483322/480048/487514/483792/477023/102151235/478514/487512/608811/487515/404011/486361/489045/488790/487398/487399/487397/489997/611194",22
"Genetic Information Processing","Replication and repair","cfa03430","Mismatch repair","22/7472","22/9973",1,1.33471627408994,2.71648634600433,0.00173009630974333,0.00284467758621258,0.000516577339447653,"475524/477019/477499/477308/481449/482686/494002/476806/478667/489798/100855690/479112/479164/477166/479751/611847/100856421/100855525/480389/474585/610047/100686967",22
"Human Diseases","Cancer: overview","cfa05230","Central carbon metabolism in cancer","66/7472","74/9973",0.891891891891892,1.19042262283697,2.84178659382749,0.00182082661298285,0.0029795344576083,0.000541066583560756,"476828/486736/478232/478019/442860/482437/449021/100856477/442964/475933/100856339/475495/480348/487797/478347/403872/477786/403438/609956/403869/479043/403871/403811/484648/100855877/477085/476883/489667/403494/611939/100856261/477575/476882/479234/403735/415125/403832/403883/403924/404306/442985/403874/487235/488448/100686499/483379/477675/478801/486025/476574/100856448/403849/488084/481187/478889/489019/490690/488808/488165/490404/489096/490878/485045/489644/606490/484425",66
"Organismal Systems","Immune system","cfa04620","Toll-like receptor signaling pathway","88/7472","101/9973",0.871287128712871,1.16292111009816,2.84438378894386,0.00190849976841099,0.00310812819426932,0.000564418477875931,"100856468/474652/442952/442859/449021/489508/442964/100856339/403417/491743/403856/480291/485004/611694/478347/480454/448787/609956/609544/448786/448807/442934/484028/478432/483657/403469/477024/489547/476412/477746/478950/100855877/609830/607899/403502/477085/403522/481111/611939/478464/477575/403850/403974/403985/403765/403764/403977/487235/403955/480601/403922/608843/607076/480600/482839/490792/478471/100688110/482905/100533188/485869/102152063/481145/477796/486601/488084/488605/100684828/488473/607023/483729/488834/403976/476714/490867/490878/609429/481245/612821/492247/489644/482264/481558/100686162/611406/102156745/487085/610524",88
"Metabolism","Metabolism of cofactors and vitamins","cfa00670","One carbon pool by folate","35/7472","37/9973",0.945945945945946,1.26256944846345,2.76561666301354,0.00199072387073995,0.00319637353893456,0.000580443332708954,"488513/475770/484770/479171/474534/475197/481486/476506/488935/488934/479301/484723/480352/608788/476245/479165/479991/611790/607458/607417/474905/479633/403978/477198/483107/100856570/611071/479190/607685/610157/478230/489536/481534/491277/482197",35
"Metabolism","Metabolism of cofactors and vitamins","cfa00760","Nicotinate and nicotinamide metabolism","35/7472","37/9973",0.945945945945946,1.26256944846345,2.76561666301354,0.00199072387073995,0.00319637353893456,0.000580443332708954,"477809/489589/475933/489397/612558/477091/482463/478726/479243/489396/610576/479342/607664/488881/612569/609412/100856598/100856179/474984/475393/403756/474820/477507/483674/608849/488467/489012/609545/491165/485045/100856724/484162/611841/100856150/483371",35
"Organismal Systems","Excretory system","cfa04960","Aldosterone-regulated sodium reabsorption","35/7472","37/9973",0.945945945945946,1.26256944846345,2.76561666301354,0.00199072387073995,0.00319637353893456,0.000580443332708954,"489968/479875/100856339/488636/608594/609956/484990/490904/489973/481036/479884/489758/403871/483665/403647/100855877/477098/477085/476189/477575/403992/403650/403966/610255/487235/475461/489285/486148/488084/487351/489479/489972/489644/100855828/612463",35
"Metabolism","Metabolism of cofactors and vitamins","cfa00770","Pantothenate and CoA biosynthesis","21/7472","21/9973",1,1.33471627408994,2.65389669046512,0.00231081981942901,0.00365879804742927,0.000664417004611655,"100856067/610941/479935/480517/610267/484394/481620/489426/442973/475309/100688308/474820/486790/486633/477168/486510/486398/489133/487653/485629/100856150",21
"Metabolism","Metabolism of terpenoids and polyketides","cfa00900","Terpenoid backbone biosynthesis","21/7472","21/9973",1,1.33471627408994,2.65389669046512,0.00231081981942901,0.00365879804742927,0.000664417004611655,"489628/490735/483705/482460/479344/100687634/475566/479182/612251/607923/489421/480129/612157/484063/481418/481950/484102/479198/486309/489663/607944",21
"Organismal Systems","Excretory system","cfa04964","Proximal tubule bicarbonate reclamation","21/7472","21/9973",1,1.33471627408994,2.65389669046512,0.00231081981942901,0.00365879804742927,0.000664417004611655,"403560/488636/403732/476617/100855592/608594/481036/480255/477928/477098/403992/474614/403966/475171/480591/488448/100686499/488073/489479/100684847/612463",21
"Organismal Systems","Sensory system","cfa04744","Phototransduction","28/7472","29/9973",0.96551724137931,1.28869157498339,2.69094779013191,0.00244864764565777,0.00385915896228091,0.000700801412048549,"493763/403620/403895/403912/480416/403613/403863/403891/403906/403911/399653/481016/478351/102153034/485557/485693/102156683/489500/487968/490902/100683168/607269/490119/609180/481801/474584/485179/487146",28
"Environmental Information Processing","Membrane transport","cfa02010","ABC transporters","45/7472","49/9973",0.918367346938776,1.22575984355198,2.73813009302414,0.00246561543673089,0.0038680755934035,0.000702420621763024,"480455/488390/479939/490781/100856571/492302/485402/100682973/474866/403632/403879/482284/478648/611241/403453/444852/478472/478914/474571/474864/478384/477643/487294/487777/490898/486638/610604/478900/491084/491967/479816/489979/479817/489993/612520/100683063/479879/485090/481813/481354/482344/481651/606966/482800/485523",45
"Human Diseases","Endocrine and metabolic disease","cfa04940","Type I diabetes mellitus","34/7472","36/9973",0.944444444444444,1.26056536997383,2.70702970934468,0.00252755849265346,0.00394714613921225,0.000716779385083172,"478794/403646/475492/483594/475242/474860/481732/486469/483665/541592/607827/474836/403974/403765/403764/403782/403977/403801/442968/403922/474869/481731/403989/478854/483960/474838/607183/490630/607786/489030/478921/403976/487107/482825",34
"Human Diseases","Infectious disease: parasitic","cfa05140","Leishmaniasis","64/7472","72/9973",0.888888888888889,1.18641446585772,2.7438416832072,0.00261995353644858,0.00405440773513763,0.000736257483450662,"403506/489968/442952/100856077/442859/403417/478984/476728/403856/480291/487375/102153873/487739/448807/484028/612521/484185/403462/612998/477024/474860/481732/100855877/607700/489664/607827/477575/480036/488596/442942/403974/403770/403782/403822/403628/403977/403785/403801/490796/403922/491825/474869/481731/490792/100688110/486601/607023/483729/607786/488429/486717/491860/489928/403976/100685794/609429/481245/612821/492247/481277/102156745/477956/485131/484519",64
"Human Diseases","Cancer: specific types","cfa05211","Renal cell carcinoma","64/7472","72/9973",0.888888888888889,1.18641446585772,2.7438416832072,0.00261995353644858,0.00405440773513763,0.000736257483450662,"608981/488971/477488/482437/449021/479873/608366/442964/474890/100856339/480092/491857/480348/474494/403431/478347/403872/403438/609956/474578/483808/483312/403871/480286/489287/479529/484648/484495/477952/100855877/477085/483225/611939/477914/477575/607885/488596/403802/403735/442986/487235/403955/490796/491872/479866/403441/100856038/488084/612814/490682/483763/608125/610063/100684945/492067/490878/609429/100684309/100683481/489644/491286/475526/484513/485772",64
"Environmental Information Processing","Signal transduction","cfa04330","Notch signaling pathway","54/7472","60/9973",0.9,1.20124464668094,2.70240309284466,0.00295927764244698,0.0045588871789048,0.000827868093429927,"479122/403408/475662/476314/478804/403420/477199/485116/486242/485769/481457/487309/100687765/100684514/478586/488638/483376/480405/476317/475035/480381/488232/100687947/476479/479662/479723/489891/479866/490382/100683070/483461/486276/607575/485892/483148/100855839/478650/481726/490971/489464/610439/100684945/487589/487624/490882/100855811/100687252/485066/480676/610303/100688936/612491/484508/477052",54
"Metabolism","Lipid metabolism","cfa00062","Fatty acid elongation","27/7472","28/9973",0.964285714285714,1.28704783572958,2.62895782707119,0.00316864340333496,0.00483783948187748,0.000878524251864486,"475316/488219/479589/476687/100856745/480828/610377/611337/478506/609163/478345/478159/574011/487900/475939/490568/474856/608764/608997/488914/486855/608399/490770/490771/481894/607926/100855761",27
"Environmental Information Processing","Signal transduction","cfa04392","Hippo signaling pathway - multiple species","27/7472","28/9973",0.964285714285714,1.28704783572958,2.62895782707119,0.00316864340333496,0.00483783948187748,0.000878524251864486,"479465/477535/607929/485781/610713/611826/477343/475045/612924/480319/480244/609743/476241/483834/607885/607383/476837/482659/100856566/484086/490688/479297/100855973/474510/482187/482195/484381",27
"Human Diseases","Immune disease","cfa05323","Rheumatoid arthritis","76/7472","87/9973",0.873563218390805,1.16595904403259,2.68721842391816,0.00329560717879548,0.00500932291176913,0.000909664671573957,"475061/480360/474840/479685/483691/403417/477740/403584/479877/403646/474628/477929/475199/448787/475667/448807/448790/474860/476705/481732/403727/449622/486137/486953/403522/482528/607827/488596/403445/403850/403974/403656/403985/403696/403714/403802/403765/403764/403770/403782/403923/403975/403981/403986/403801/403796/607705/490796/480601/403922/608843/474869/480600/481731/612591/490792/486245/485545/483957/481110/487981/481712/490256/102156614/607786/489428/489905/484140/609429/611795/481837/481359/482779/482789/609418/106557449",76
"Genetic Information Processing","Replication and repair","cfa03420","Nucleotide excision repair","53/7472","59/9973",0.898305084745763,1.19898241570791,2.64953077441379,0.00358512418502468,0.00542527642158602,0.000985199473295091,"478109/608441/492102/478318/478656/607683/481623/477499/474494/476521/477308/479483/481449/483626/478089/477446/100686835/482686/493995/476806/612182/612550/478667/481656/489798/483863/100855690/476881/477747/479112/480346/475152/481078/611859/484922/476105/477166/474512/476476/476052/483096/486223/612282/487225/479156/611847/100856421/488812/476067/479842/610047/100686967/100855935",53
"Metabolism","Metabolism of other amino acids","cfa00480","Glutathione metabolism","52/7472","58/9973",0.896551724137931,1.19664217677029,2.59595423134114,0.00433629157281105,0.00650443735921657,0.00118116898797716,"475518/478897/478236/477814/609843/480356/476078/479912/486404/482963/489179/100686488/100856518/478481/479043/477683/606867/476823/403913/612283/479081/442962/480069/403877/442961/100856478/477556/474939/476006/609050/610304/476005/479911/475348/478059/475596/485847/477813/481988/488328/478889/486400/486401/608702/482085/481841/474938/609822/477558/612017/611603/475666",52
"Environmental Information Processing","Signal transduction","cfa04370","VEGF signaling pathway","52/7472","58/9973",0.896551724137931,1.19664217677029,2.59595423134114,0.00433629157281105,0.00650443735921657,0.00118116898797716,"489968/403486/485874/612559/403784/449021/485864/442964/100856339/403856/478347/403872/484401/609956/490904/490263/403871/486299/609027/484648/479248/100855877/484756/477085/489692/487432/475108/611939/480048/477575/442942/403802/403735/403979/487514/487235/403955/481271/487512/608811/487515/488084/485930/607023/483763/490878/612821/489644/482154/100855828/483329/106559217",52
"Metabolism","Carbohydrate metabolism","cfa00051","Fructose and mannose metabolism","31/7472","33/9973",0.93939393939394,1.25382437869055,2.52435151540715,0.00513007337777282,0.00766150696593146,0.00139128627574625,"487139/486736/478019/100170647/475116/479787/491903/487797/474787/483800/476300/487535/476299/608751/489715/480185/488189/479234/474486/477711/480622/607537/100856448/403849/480011/484777/489019/489096/478369/490013/100533995",31
"Metabolism","Amino acid metabolism","cfa00330","Arginine and proline metabolism","46/7472","51/9973",0.901960784313726,1.20386173741445,2.52274827876503,0.00552717857715501,0.00818309555578793,0.00148600380976143,"483695/403784/490715/610941/403450/486834/100856136/608755/476435/478991/477498/481486/474672/487430/403451/479163/476165/476166/486317/483372/610267/477858/479242/480112/481620/477781/479081/478103/403822/100855552/485787/475591/100688308/474823/478144/480364/484572/478277/477562/608702/482079/485085/475666/481960/475536/609381",46
"Genetic Information Processing","Replication and repair","cfa03460","Fanconi anemia pathway","46/7472","51/9973",0.901960784313726,1.20386173741445,2.52274827876503,0.00552717857715501,0.00818309555578793,0.00148600380976143,"474915/477576/100685609/477019/476496/479017/476021/403437/481449/612161/489537/100855690/479549/484659/607154/477027/487450/607780/481337/608504/611887/403568/479751/480573/474180/612282/100683243/100856315/479180/100856370/100687493/100856421/480307/488804/491079/491122/607277/100856274/479842/609907/479867/100684392/490076/608713/481963/608134",46
"Metabolism","Global and overview maps","cfa01232","Nucleotide metabolism","76/7472","88/9973",0.863636363636364,1.15270950944131,2.48697718952909,0.00645980720246621,0.00952264682432519,0.00172925873387253,"607237/477809/480851/608503/479913/480429/480266/477236/483028/480772/482463/100856092/482963/475791/487393/479615/612562/475178/480558/476638/612692/482188/488231/611387/477123/100856179/479253/476823/608996/480098/474984/475277/490974/485564/480384/609255/489903/610291/475393/609526/610721/476630/100687720/607417/480559/478145/476342/611514/484249/480712/480689/474820/484169/476281/489554/102314701/102157398/486810/486117/606901/609318/481988/608853/608979/100686107/609545/611724/100688937/100856596/490204/475022/102156116/476928/485604/100855947/100856150",76
"Metabolism","Lipid metabolism","cfa00120","Primary bile acid biosynthesis","17/7472","17/9973",1,1.33471627408994,2.38732510941969,0.00735195555371383,0.0107912824007302,0.00195963576990791,"477247/482711/481634/480432/474630/485619/608675/100856263/610489/479564/612603/486962/486973/100855488/489917/481825/481635",17
"Organismal Systems","Immune system","cfa04650","Natural killer cell mediated cytotoxicity","87/7472","102/9973",0.852941176470588,1.13843446907671,2.42893822758821,0.00778298886993471,0.0113751375791354,0.00206566056377035,"100856468/486102/489968/403486/485874/612559/100683675/477488/100856077/100856339/478984/491857/476477/483925/478347/403872/488642/490439/487739/609956/490904/442934/483312/403871/612899/609027/611571/486469/489126/484648/488797/484196/478151/479248/100855877/609830/477085/475032/476352/489692/100174780/611939/403567/479921/477575/607885/403735/403770/403923/403975/403801/487235/442968/403955/403922/481271/100683099/607220/488084/485930/102156541/490630/488644/403798/609474/486692/611360/100683403/489030/490682/486717/487546/489905/607947/485016/100683481/489644/608060/609023/481558/100686162/611406/100271860/611390/100855828/475526/106559217",87
"Metabolism","Global and overview maps","cfa01210","2-Oxocarboxylic acid metabolism","29/7472","31/9973",0.935483870967742,1.24860554672929,2.39611414147023,0.00816013992279256,0.0118756078876385,0.00215654313749053,"479066/474403/486834/474978/474487/477177/476602/612589/479043/484488/489406/475499/484394/100855679/609914/478008/481576/478103/100856446/490943/475591/403978/486633/477748/476574/486059/478889/481081/479929",29
"Cellular Processes","Cell growth and death","cfa04115","p53 signaling pathway","66/7472","76/9973",0.868421052631579,1.15909571170968,2.40639105983037,0.00830508465492166,0.0120353345423017,0.00218554859340044,"100683675/479883/403476/403416/476177/479450/474890/478324/100855728/609054/482963/483626/403869/449028/612746/486338/486469/608420/100856496/484610/100856079/481956/487432/481131/611782/487486/403523/403567/482620/479236/487057/403832/475258/610255/612693/476218/403693/403618/479303/490349/100855704/100856315/478442/483649/478939/609767/489301/100855542/481988/487335/488473/487351/100855619/608855/480060/612934/100683150/485069/489620/608847/609920/484198/485118/612153/612286/483885",66
"Metabolism","Glycan biosynthesis and metabolism","cfa00515","Mannose type O-glycan biosynthesis","23/7472","24/9973",0.958333333333333,1.27910309600286,2.36610100543597,0.00878348301541341,0.012568833436282,0.00228242897119309,"476013/608039/474521/474555/489265/485621/482511/481579/480400/481875/476397/608152/483638/479196/488650/100687645/481652/449027/484426/482527/610736/483337/482834",23
"Metabolism","Carbohydrate metabolism","cfa00650","Butanoate metabolism","23/7472","24/9973",0.958333333333333,1.27910309600286,2.36610100543597,0.00878348301541341,0.012568833436282,0.00228242897119309,"479344/488037/478794/479822/479821/607923/477517/489421/100856745/480828/100855521/479347/481852/478506/480316/484063/479856/483960/488246/488110/608888/609009/487107",23
"Metabolism","Metabolism of cofactors and vitamins","cfa00790","Folate biosynthesis","23/7472","24/9973",0.958333333333333,1.27910309600286,2.36610100543597,0.00878348301541341,0.012568833436282,0.00228242897119309,"490739/479082/609680/609970/403548/479337/481784/610164/497070/611326/479165/100856436/403444/403736/607537/475446/483118/611956/100688446/481165/609393/490482/100855785",23
NA,NA,"cfa03272","Virion - Hepatitis viruses","43/7472","48/9973",0.895833333333333,1.19568332887223,2.34888583776891,0.00985528709298858,0.0140437841075087,0.00255027166002775,"481037/481360/479667/479674/403649/476963/480372/403440/478767/100683160/475772/486241/485406/480263/489656/476995/403648/611606/403844/611695/404306/485842/477079/474391/100856416/608924/477015/488160/607306/482918/482919/487720/478401/487751/100686536/608935/608207/608218/100684266/489466/490048/608397/607005",43
"Metabolism","Amino acid metabolism","cfa00340","Histidine metabolism","22/7472","23/9973",0.956521739130435,1.2766851317382,2.29610064370111,0.0112963066559093,0.0160304434702115,0.00291103774928433,"483695/610941/403450/475432/478991/476133/481486/403451/476507/476165/476166/611064/610267/481620/476320/100688308/475433/476003/607685/487551/489526/475536",22
"Organismal Systems","Immune system","cfa04612","Antigen processing and presentation","51/7472","58/9973",0.879310344827586,1.17362982721701,2.2921587426159,0.0117917150196876,0.0166643245319552,0.00302614696025041,"479406/476662/480232/480512/476669/474680/479329/483594/480258/478279/475312/403400/474866/474860/481732/474850/480726/541592/483076/607827/486077/476694/481740/474836/474919/480438/403157/403931/403908/100855741/403801/607367/480256/403922/475450/474869/483197/481731/490008/474864/474838/403612/486692/611360/607922/102156614/607786/100683403/480355/484140/474897",51
"Metabolism","Lipid metabolism","cfa00140","Steroid hormone biosynthesis","42/7472","47/9973",0.893617021276596,1.19272518110164,2.28903786426523,0.0119048205723563,0.0167549326573904,0.00304260088269016,"449023/485027/445450/483146/482711/100688697/100856129/609364/483038/482182/415120/489758/497070/607895/403629/403715/403716/415124/415122/474177/475939/106560171/415127/484403/415128/478365/486962/486973/481118/477807/491727/100688473/489851/607570/494003/100856708/491129/100686778/494010/482071/489690/482155",42
"Metabolism","Glycan biosynthesis and metabolism","cfa00604","Glycosphingolipid biosynthesis - ganglio series","15/7472","15/9973",1,1.33471627408994,2.24227625407655,0.0131109288170356,0.0182901096516969,0.0033213803307175,"612022/478100/100036755/489714/487633/485724/491324/477672/403873/490205/481129/481737/482050/609133/613015",15
NA,NA,"cfa03273","Virion - Lassa virus and SFTS virus","15/7472","15/9973",1,1.33471627408994,2.24227625407655,0.0131109288170356,0.0182901096516969,0.0033213803307175,"481037/481280/479497/485000/479836/403703/488487/476623/476995/476942/100856703/488843/608881/100688336/100686939",15
"Organismal Systems","Environmental adaptation","cfa04710","Circadian rhythm","32/7472","35/9973",0.914285714285714,1.22031202202508,2.25670838770836,0.0131560437845539,0.0182901096516969,0.0033213803307175,"608256/475546/474682/476860/474494/479291/484680/403457/486295/475512/475928/479351/100685867/486559/100688236/488526/100855456/483641/486851/100856379/486180/483205/607922/489488/489571/474510/484164/474528/475145/474552/485499/485643",32
"Metabolism","Nucleotide metabolism","cfa00240","Pyrimidine metabolism","50/7472","57/9973",0.87719298245614,1.1708037492017,2.23521492586038,0.0139945907430775,0.0193771256442612,0.00351877627889016,"478593/477809/100856067/480851/608503/474746/480772/482463/482963/487393/612562/480558/476638/482188/479935/611387/610755/100856179/476823/608996/474984/475277/490974/485564/480384/489903/610291/609526/100687720/607417/480559/611514/474820/476281/486810/486117/609318/481988/608979/486398/100686107/609545/100688937/100856596/475022/102156116/483009/485604/100855947/100856150",50
